Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5280490,2018-02-26 00:03:26,2017-02-23 12:52:07,31895885,6379177000,31895885,200,3970,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280490.sralite.1,SRX2584182,AGGR06,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998009,SAMN06434872,simple,9627,Vulpes vulpes,AGGR06,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,F20FBA9F25EE9E266AEC83A4270A9717,AC5D8090264AFC94535E574FFBAE68D9
SRR5280489,2018-02-26 00:03:26,2017-02-23 13:00:43,43026305,8605261000,43026305,200,5233,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280489.sralite.1,SRX2584181,AGGR07,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998008,SAMN06434873,simple,9627,Vulpes vulpes,AGGR07,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,AE3C6D37A45AA23A2A0A3FDF3DD8D5C3,3B185CCF042F8F852D64D2E4353461BA
SRR5280488,2018-02-26 00:03:26,2017-02-23 12:55:15,32309300,6461860000,32309300,200,4012,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280488.sralite.1,SRX2584180,AGGR08,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998007,SAMN06434874,simple,9627,Vulpes vulpes,AGGR08,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,E8102EBE7B78D838B74ACF4BEB586227,7192B39B6962A97F12FCFDA624758FAD
SRR5280487,2018-02-26 00:03:26,2017-02-23 13:00:42,49239863,9847972600,49239863,200,6043,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280487.sralite.1,SRX2584179,AGGR09,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998006,SAMN06434875,simple,9627,Vulpes vulpes,AGGR09,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,3F45C86FAEB9696E4601012CAC2BF224,AAB4CE2289F09FCC700A85C33478EF9A
SRR5280486,2018-02-26 00:03:26,2017-02-23 12:49:07,30843416,6168683200,30843416,200,3845,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280486.sralite.1,SRX2584178,AGGR10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998005,SAMN06434876,simple,9627,Vulpes vulpes,AGGR10,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,A460FB02C716CFE28EF2B8C5455FEAFB,BE16F6A0D36F2A64E53B5D84FC95D74A
SRR5280495,2018-02-26 00:03:26,2017-02-23 13:24:21,39912049,7982409800,39912049,200,4928,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280495.sralite.1,SRX2584187,AGGR01,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998014,SAMN06434867,simple,9627,Vulpes vulpes,AGGR01,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,C3B70E2C5CB139905FE46BCAFDC78622,A0EF979D20C6ACF6C4E2384A3D9393B1
SRR5280494,2018-02-26 00:03:26,2017-02-23 13:08:29,64005039,12801007800,64005039,200,7824,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280494.sralite.1,SRX2584186,AGGR02,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998013,SAMN06434868,simple,9627,Vulpes vulpes,AGGR02,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,25DE71FFD7ADABC63403038275E0DF4D,D57380F52456DBDCA34968090812014F
SRR5280493,2018-02-26 00:03:26,2017-02-23 12:52:40,37781937,7556387400,37781937,200,4675,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280493.sralite.1,SRX2584185,AGGR03,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998012,SAMN06434869,simple,9627,Vulpes vulpes,AGGR03,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,658D7FA6FEFF5CBCE156F6A9CC31E46E,03C6D0B813C7E244D82A0F8118193523
SRR5280492,2018-02-26 00:03:26,2017-02-23 13:24:46,42407914,8481582800,42407914,200,5199,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280492.sralite.1,SRX2584184,AGGR04,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998011,SAMN06434870,simple,9627,Vulpes vulpes,AGGR04,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,BCDC97E5005B53B378F01C50E0AE3C03,BCA1158EC1BCE2B1414CBD17195FFAC5
SRR5280491,2018-02-26 00:03:26,2017-02-23 12:54:27,37524126,7504825200,37524126,200,4714,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280491.sralite.1,SRX2584183,AGGR05,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998010,SAMN06434871,simple,9627,Vulpes vulpes,AGGR05,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,500C8EC3E45B5C47A8DD51FBFE9F4C6D,3D9DA6FCE322ECF4503F35B7CBF8FBBD
